Fecha,Zona,PM2.5,NO₂,SO₂,CO,PM10,O3,CO2,Temp,Viento,Humedad
2025-06-24,Carapungo,30.3,39.6,6.3,1.2,52.7,66.7,415.0,15.3,11.0,71
2025-06-25,Carapungo,21.9,28.6,4.6,0.5,42.0,55.1,385.0,13.6,9.4,79
2025-06-26,Carapungo,24.0,31.0,5.2,0.7,44.7,58.0,392.0,14.0,9.9,77
2025-06-27,Carapungo,26.0,33.5,5.6,0.8,46.9,60.4,400.0,14.5,10.4,75
2025-06-28,Carapungo,28.1,36.3,6.0,1.0,49.3,63.1,406.0,14.8,10.8,73
2025-06-29,Carapungo,29.8,38.9,6.3,1.1,51.5,65.5,414.0,15.2,11.1,71
2025-06-30,Carapungo,22.2,29.1,4.9,0.6,43.0,56.4,389.0,13.8,9.6,78
2025-05-01,Los chillos,23.1,31.2,5.3,0.7,46.1,66.0,402.0,14.1,10.8,74
2025-05-02,Los chillos,25.0,33.5,5.6,0.8,48.0,64.4,408.0,14.5,10.4,76
2025-05-03,Los chillos,27.3,36.0,5.9,0.9,50.3,62.9,414.0,14.8,10.1,77
2025-05-04,Los chillos,29.0,38.3,6.2,1.1,52.6,61.2,418.0,15.0,10.0,75
2025-05-05,Los chillos,21.8,29.6,4.8,0.6,43.8,58.3,395.0,13.7,10.2,78
2025-05-06,Los chillos,24.2,32.0,5.2,0.7,46.0,60.1,400.0,14.0,10.0,76
2025-05-07,Los chillos,26.0,34.3,5.5,0.9,48.4,62.4,407.0,14.5,10.6,74
2025-05-08,Los chillos,28.1,36.9,5.9,1.0,50.8,64.9,414.0,14.9,11.0,72
2025-05-09,Los chillos,29.4,39.1,6.1,1.2,53.0,67.0,420.0,15.2,11.4,70
2025-05-10,Los chillos,20.9,28.3,4.5,0.5,42.3,56.8,388.0,13.6,9.8,79
2025-05-11,Los chillos,22.7,30.4,4.9,0.6,44.4,59.0,392.0,14.0,10.1,77
2025-05-12,Los chillos,24.8,32.7,5.3,0.7,46.9,61.3,398.0,14.4,10.2,75
2025-05-13,Los chillos,26.9,34.9,5.6,0.9,49.3,63.7,406.0,14.7,10.8,73
2025-05-14,Los chillos,28.7,37.4,6.0,1.0,51.7,66.2,412.0,15.0,11.2,71
2025-05-15,Los chillos,23.5,31.1,5.1,0.7,45.1,60.4,395.0,14.1,10.4,74
2025-05-16,Los chillos,25.9,33.8,5.5,0.8,47.3,62.7,404.0,14.6,10.6,72
2025-05-17,Los chillos,27.6,36.5,5.8,1.0,49.7,65.0,411.0,14.9,11.0,70
2025-05-18,Los chillos,29.2,38.9,6.2,1.1,52.1,67.3,417.0,15.2,11.3,69
2025-05-19,Los chillos,30.7,41.2,6.4,1.3,54.4,69.6,423.0,15.5,11.7,67
2025-05-20,Los chillos,21.5,29.0,4.7,0.6,43.0,57.0,390.0,13.8,10.0,77
2025-05-21,Los chillos,23.9,31.4,5.0,0.7,45.4,59.4,396.0,14.2,10.2,75
2025-05-22,Los chillos,25.5,33.7,5.3,0.8,47.7,61.7,402.0,14.6,10.7,73
2025-05-23,Los chillos,27.8,36.1,5.8,1.0,50.0,64.2,408.0,14.9,11.1,71
2025-05-24,Los chillos,29.3,38.6,6.1,1.2,52.4,66.6,415.0,15.3,11.5,69
2025-05-25,Los chillos,22.1,28.9,4.6,0.6,42.8,56.5,388.0,13.9,9.9,78
2025-05-26,Los chillos,24.3,31.1,4.9,0.7,44.9,59.2,394.0,14.3,10.1,76
2025-05-27,Los chillos,26.4,33.6,5.2,0.8,47.1,61.6,401.0,14.7,10.5,74
2025-05-28,Los chillos,28.6,36.2,5.7,1.0,49.4,64.0,408.0,15.0,10.9,73
2025-05-29,Los chillos,30.0,38.5,6.0,1.2,51.8,66.3,414.0,15.3,11.3,71
2025-05-30,Los chillos,23.0,30.2,4.8,0.6,44.2,58.8,392.0,14.0,10.0,77
2025-05-31,Los chillos,25.0,32.4,5.2,0.8,46.7,61.0,398.0,14.4,10.4,75
2025-06-01,Los chillos,27.2,35.1,5.6,0.9,49.1,63.5,404.0,14.7,10.7,73
2025-06-02,Los chillos,28.8,37.6,6.0,1.1,51.4,65.9,411.0,15.0,11.1,72
2025-06-03,Los chillos,30.5,39.8,6.3,1.3,53.8,68.3,419.0,15.4,11.6,70
2025-06-04,Los chillos,22.4,29.3,4.7,0.6,43.3,57.6,389.0,13.8,9.8,78
2025-06-05,Los chillos,24.6,31.6,5.0,0.7,45.7,59.9,395.0,14.3,10.1,76
2025-06-06,Los chillos,26.8,34.1,5.4,0.9,48.0,62.3,402.0,14.6,10.5,74
2025-06-07,Los chillos,28.2,36.5,5.8,1.0,50.3,64.7,409.0,15.0,10.9,72
2025-06-08,Los chillos,29.9,39.0,6.1,1.2,52.7,67.0,415.0,15.3,11.3,70
2025-06-09,Los chillos,21.7,28.5,4.6,0.5,42.0,55.9,388.0,13.6,9.6,79
2025-06-10,Los chillos,23.6,30.6,5.0,0.6,44.0,58.4,393.0,14.1,9.9,78
2025-06-11,Los chillos,25.9,33.2,5.4,0.8,46.5,60.8,399.0,14.5,10.3,76
2025-06-12,Los chillos,27.7,35.7,5.7,0.9,48.9,63.1,406.0,14.9,10.7,74
2025-06-13,Los chillos,29.6,38.0,6.0,1.1,51.2,65.5,412.0,15.2,11.1,72
2025-06-14,Los chillos,22.3,29.0,4.8,0.6,43.5,56.7,390.0,13.9,9.7,78
2025-06-15,Los chillos,24.1,31.3,5.1,0.7,45.9,59.4,396.0,14.3,10.0,76
2025-06-16,Los chillos,26.3,33.7,5.5,0.9,48.2,61.9,403.0,14.6,10.4,74
2025-06-17,Los chillos,28.4,36.2,5.9,1.0,50.6,64.3,410.0,15.0,10.8,72
2025-06-18,Los chillos,30.1,38.7,6.2,1.2,52.9,66.6,416.0,15.4,11.2,70
2025-06-19,Los chillos,23.2,30.1,4.9,0.6,44.8,58.2,392.0,14.0,10.0,77
2025-06-20,Los chillos,25.3,32.5,5.3,0.7,47.1,60.6,399.0,14.5,10.3,75
2025-06-21,Los chillos,27.1,35.0,5.6,0.9,49.3,62.8,405.0,14.8,10.7,73
2025-06-22,Los chillos,29.0,37.4,6.0,1.1,51.6,65.2,412.0,15.1,11.0,72
2025-06-23,Los chillos,30.6,39.9,6.3,1.3,53.9,67.6,418.0,15.5,11.4,70
2025-06-24,Los chillos,22.6,28.7,4.7,0.6,43.1,56.1,389.0,13.8,9.6,79
2025-06-25,Los chillos,24.9,31.3,5.1,0.7,45.5,58.6,395.0,14.3,10.1,77
2025-06-26,Los chillos,27.0,33.9,5.4,0.9,47.9,61.0,402.0,14.6,10.5,75
2025-06-27,Los chillos,28.7,36.3,5.8,1.0,50.2,63.5,408.0,15.0,10.9,73
2025-06-28,Los chillos,30.3,38.8,6.1,1.2,52.5,66.0,414.0,15.4,11.3,71
2025-06-29,Los chillos,23.0,30.2,4.9,0.6,44.0,57.4,390.0,13.9,9.9,78
2025-06-30,Los chillos,25.4,32.9,5.3,0.8,46.4,60.0,397.0,14.4,10.4,76
2025-05-01,Cotocollao,22.9,30.0,5.0,0.7,44.8,60.0,395.0,14.0,10.1,74
2025-05-02,Cotocollao,24.6,32.2,5.4,0.8,46.5,62.2,400.0,14.3,10.4,73
2025-05-03,Cotocollao,26.3,34.5,5.7,0.9,48.9,64.5,407.0,14.7,10.5,75
2025-05-04,Cotocollao,28.1,36.7,6.0,1.0,51.2,66.3,412.0,15.0,10.8,76
2025-05-05,Cotocollao,29.5,39.1,6.3,1.2,53.4,68.9,418.0,15.3,11.0,77
2025-05-06,Cotocollao,21.4,28.5,4.7,0.6,42.7,57.2,390.0,13.7,10.0,78
2025-05-07,Cotocollao,23.1,30.6,5.1,0.7,44.4,59.3,395.0,14.1,10.2,77
2025-05-08,Cotocollao,25.3,33.0,5.5,0.9,47.0,61.8,403.0,14.5,10.6,75
2025-05-09,Cotocollao,27.4,35.3,5.8,1.0,49.3,63.9,410.0,14.8,11.0,73
2025-05-10,Cotocollao,29.2,37.6,6.1,1.2,51.8,66.4,416.0,15.2,11.2,71
2025-05-11,Cotocollao,22.0,29.2,4.8,0.6,43.5,58.0,392.0,13.8,10.1,76
2025-05-12,Cotocollao,24.2,31.3,5.2,0.8,45.7,60.1,398.0,14.2,10.4,75
2025-05-13,Cotocollao,26.0,33.7,5.6,0.9,48.1,62.6,404.0,14.6,10.7,74
2025-05-14,Cotocollao,27.9,36.0,5.9,1.1,50.4,65.0,411.0,15.0,11.0,72
2025-05-15,Cotocollao,29.6,38.3,6.2,1.3,52.7,67.4,417.0,15.3,11.4,70
2025-05-16,Cotocollao,21.7,28.9,4.9,0.6,42.9,57.5,391.0,13.8,10.0,78
2025-05-17,Cotocollao,23.5,31.0,5.3,0.7,45.0,59.8,396.0,14.1,10.3,77
2025-05-18,Cotocollao,25.8,33.4,5.6,0.9,47.5,62.2,403.0,14.5,10.6,75
2025-05-19,Cotocollao,27.5,35.6,6.0,1.0,49.9,64.4,409.0,14.9,11.0,73
2025-05-20,Cotocollao,30.0,38.1,6.3,1.2,52.2,66.7,415.0,15.3,11.3,71
2025-05-21,Cotocollao,22.3,29.4,5.0,0.6,43.1,58.4,393.0,13.9,10.1,76
2025-05-22,Cotocollao,24.0,31.6,5.3,0.7,45.3,60.6,397.0,14.3,10.4,75
2025-05-23,Cotocollao,26.1,34.0,5.7,0.9,47.8,63.0,404.0,14.7,10.7,74
2025-05-24,Cotocollao,28.0,36.3,6.0,1.1,50.1,65.3,411.0,15.0,11.0,72
2025-05-25,Cotocollao,29.7,38.7,6.3,1.3,52.5,67.6,417.0,15.4,11.3,70
2025-05-26,Cotocollao,22.1,29.1,4.8,0.6,42.8,57.3,392.0,13.7,10.2,78
2025-05-27,Cotocollao,24.3,31.2,5.1,0.7,45.1,59.5,396.0,14.2,10.3,76
2025-05-28,Cotocollao,26.4,33.5,5.4,0.9,47.4,61.9,402.0,14.6,10.7,74
2025-05-29,Cotocollao,28.3,35.8,5.8,1.0,49.7,64.2,409.0,14.9,11.0,72
2025-05-30,Cotocollao,30.1,38.2,6.1,1.2,52.0,66.6,415.0,15.2,11.4,70
2025-05-31,Cotocollao,21.9,28.7,4.6,0.5,42.5,56.9,390.0,13.6,10.1,79
2025-06-01,Cotocollao,23.6,30.8,5.0,0.6,44.8,59.0,395.0,14.0,10.3,78
2025-06-02,Cotocollao,25.9,33.2,5.3,0.8,47.0,61.3,402.0,14.4,10.6,76
2025-06-03,Cotocollao,27.8,35.6,5.7,0.9,49.3,63.6,409.0,14.8,11.0,74
2025-06-04,Cotocollao,29.4,37.9,6.0,1.1,51.8,66.0,415.0,15.2,11.2,72
2025-06-05,Cotocollao,22.5,29.3,4.9,0.6,43.0,57.1,391.0,13.8,10.1,78
2025-06-06,Cotocollao,24.1,31.4,5.2,0.7,45.2,59.4,396.0,14.2,10.4,77
2025-06-07,Cotocollao,26.5,33.9,5.6,0.9,47.6,61.8,403.0,14.6,10.7,75
2025-06-08,Cotocollao,28.6,36.2,5.9,1.0,49.9,64.2,408.0,14.9,11.1,73
2025-06-09,Cotocollao,30.3,38.6,6.2,1.2,52.3,66.5,414.0,15.3,11.3,71
2025-06-10,Cotocollao,21.8,28.4,4.7,0.5,42.6,56.5,390.0,13.7,10.0,79
2025-06-11,Cotocollao,23.4,30.6,5.1,0.6,44.9,58.7,394.0,14.1,10.2,77
2025-06-12,Cotocollao,25.7,33.1,5.5,0.8,47.3,61.1,401.0,14.5,10.6,75
2025-06-13,Cotocollao,27.5,35.4,5.8,1.0,49.6,63.4,408.0,14.8,10.9,74
2025-06-14,Cotocollao,29.8,37.8,6.2,1.2,51.9,65.9,414.0,15.2,11.3,72
2025-06-15,Cotocollao,22.2,29.1,4.9,0.6,43.3,57.4,391.0,13.9,10.1,78
2025-06-16,Cotocollao,24.5,31.3,5.2,0.7,45.6,59.6,396.0,14.2,10.3,76
2025-06-17,Cotocollao,26.6,33.8,5.6,0.9,47.9,62.0,403.0,14.6,10.7,75
2025-06-18,Cotocollao,28.4,36.1,5.9,1.0,50.2,64.3,409.0,14.9,11.0,73
2025-06-19,Cotocollao,30.2,38.5,6.3,1.2,52.6,66.8,415.0,15.3,11.4,71
2025-06-20,Cotocollao,21.6,28.2,4.6,0.5,42.2,56.4,389.0,13.6,10.0,79
2025-06-21,Cotocollao,23.8,30.5,5.0,0.6,44.5,58.6,394.0,14.0,10.2,77
2025-06-22,Cotocollao,25.9,32.7,5.3,0.8,46.8,60.9,400.0,14.4,10.6,75
2025-06-23,Cotocollao,27.6,35.0,5.7,0.9,49.1,63.1,407.0,14.7,10.9,74
2025-06-24,Cotocollao,29.9,37.4,6.1,1.1,51.4,65.5,413.0,15.1,11.3,72
2025-06-25,Cotocollao,22.4,29.2,4.9,0.6,43.1,57.3,391.0,13.8,10.1,78
2025-06-26,Cotocollao,24.6,31.6,5.3,0.7,45.3,59.7,396.0,14.2,10.4,76
2025-06-27,Cotocollao,26.8,34.0,5.6,0.9,47.6,62.1,403.0,14.5,10.7,75
2025-06-28,Cotocollao,28.9,36.3,6.0,1.0,49.9,64.6,409.0,14.9,11.1,73
2025-06-29,Cotocollao,30.5,38.7,6.3,1.2,52.3,67.0,415.0,15.3,11.4,71
2025-06-30,Cotocollao,22.1,29.0,4.8,0.6,42.9,57.1,390.0,13.7,10.0,78
2025-05-01,Centro,23.0,30.5,5.1,0.7,45.0,59.8,394.0,14.1,10.2,74
2025-05-02,Centro,24.7,32.7,5.5,0.8,47.1,62.1,399.0,14.4,10.3,73
2025-05-03,Centro,26.5,34.9,5.8,0.9,49.3,64.3,405.0,14.8,10.6,75
2025-05-04,Centro,28.2,37.3,6.1,1.1,51.9,66.8,412.0,15.1,10.9,76
2025-05-05,Centro,29.6,39.4,6.4,1.2,54.2,68.5,418.0,15.4,11.3,77
2025-05-06,Centro,22.0,28.3,4.7,0.6,42.6,56.9,389.0,13.9,10.0,78
2025-05-07,Centro,23.8,30.4,5.0,0.7,44.5,59.1,394.0,14.2,10.1,77
2025-05-08,Centro,25.6,32.6,5.4,0.8,46.8,61.3,400.0,14.6,10.5,75
2025-05-09,Centro,27.7,35.1,5.7,1.0,49.2,63.7,407.0,14.9,10.9,73
2025-05-10,Centro,29.3,37.2,6.0,1.1,51.7,65.9,413.0,15.2,11.2,71
2025-05-11,Centro,22.4,28.9,4.8,0.6,43.1,57.5,390.0,13.8,10.0,76
2025-05-12,Centro,24.5,31.1,5.2,0.7,45.4,59.7,395.0,14.2,10.2,75
2025-05-13,Centro,26.7,33.4,5.6,0.9,47.7,62.0,402.0,14.6,10.6,74
2025-05-14,Centro,28.5,35.6,5.9,1.0,50.1,64.4,408.0,14.9,11.0,72
2025-05-15,Centro,30.0,37.9,6.2,1.1,52.6,66.9,414.0,15.3,11.4,70
2025-05-16,Centro,21.9,28.2,4.7,0.6,42.8,57.0,391.0,13.7,9.8,78
2025-05-17,Centro,23.6,30.3,5.0,0.7,44.9,59.2,396.0,14.0,10.0,77
2025-05-18,Centro,25.9,32.8,5.3,0.8,47.3,61.7,402.0,14.4,10.4,75
2025-05-19,Centro,27.6,35.0,5.7,1.0,49.6,64.0,409.0,14.8,10.8,73
2025-05-20,Centro,29.8,37.5,6.0,1.2,52.0,66.3,415.0,15.1,11.2,71
2025-05-21,Centro,22.2,28.7,4.9,0.6,43.0,57.8,392.0,13.9,10.1,76
2025-05-22,Centro,24.4,30.9,5.2,0.7,45.3,60.3,398.0,14.3,10.4,75
2025-05-23,Centro,26.1,33.0,5.5,0.9,47.6,62.7,404.0,14.7,10.6,74
2025-05-24,Centro,28.7,35.4,5.9,1.0,50.0,65.1,411.0,15.0,11.0,72
2025-05-25,Centro,30.2,38.0,6.3,1.2,52.4,67.5,417.0,15.4,11.3,70
2025-05-26,Centro,22.5,28.5,4.8,0.6,43.2,57.2,390.0,13.8,10.0,78
2025-05-27,Centro,24.8,31.0,5.1,0.7,45.6,59.8,396.0,14.2,10.3,76
2025-05-28,Centro,26.9,33.2,5.4,0.8,48.0,62.0,403.0,14.6,10.6,75
2025-05-29,Centro,28.4,35.9,5.8,1.0,50.3,64.3,410.0,14.9,11.0,73
2025-05-30,Centro,29.7,38.5,6.1,1.2,52.7,66.6,416.0,15.3,11.2,71
2025-05-31,Centro,22.0,28.0,4.6,0.5,42.0,56.0,388.0,13.6,10.0,79
2025-06-01,Centro,23.9,30.1,5.0,0.7,44.3,58.2,393.0,14.0,10.2,77
2025-06-02,Centro,25.2,32.4,5.4,0.8,46.7,60.7,399.0,14.4,10.5,76
2025-06-03,Centro,27.1,35.0,5.8,1.0,49.0,63.0,406.0,14.8,10.9,73
2025-06-04,Centro,29.0,37.1,6.1,1.1,51.4,65.5,412.0,15.2,11.2,71
2025-06-05,Centro,21.7,28.4,4.6,0.5,41.8,55.7,387.0,13.7,9.9,79
2025-06-06,Centro,23.5,30.5,5.0,0.6,44.0,57.9,392.0,14.1,10.1,78
2025-06-07,Centro,25.7,33.0,5.5,0.8,46.3,60.2,398.0,14.5,10.4,76
2025-06-08,Centro,27.9,35.3,5.9,1.0,48.7,62.8,405.0,14.9,10.8,74
2025-06-09,Centro,30.1,37.9,6.2,1.2,51.0,65.1,412.0,15.3,11.1,71
2025-06-10,Centro,22.3,28.9,4.8,0.6,42.5,56.9,389.0,13.8,10.1,78
2025-06-11,Centro,24.1,31.0,5.2,0.7,44.8,59.2,395.0,14.2,10.4,77
2025-06-12,Centro,26.6,33.7,5.6,0.9,47.2,61.5,401.0,14.6,10.7,75
2025-06-13,Centro,28.3,36.1,5.9,1.0,49.6,63.9,408.0,14.9,11.0,74
2025-06-14,Centro,30.0,38.4,6.3,1.2,52.1,66.3,414.0,15.2,11.3,72
2025-06-15,Centro,21.8,28.2,4.7,0.6,42.6,57.0,389.0,13.7,10.0,79
2025-06-16,Centro,23.6,30.3,5.0,0.7,44.9,59.3,395.0,14.1,10.2,77
2025-06-17,Centro,25.8,32.8,5.4,0.8,47.1,61.7,401.0,14.5,10.5,75
2025-06-18,Centro,27.5,35.1,5.7,1.0,49.6,64.0,408.0,14.9,10.9,73
2025-06-19,Centro,29.7,37.5,6.0,1.1,52.0,66.4,414.0,15.2,11.2,71
2025-06-20,Centro,22.1,29.0,4.8,0.6,43.0,57.5,390.0,13.9,10.1,78
2025-06-21,Centro,24.4,31.5,5.2,0.7,45.3,60.0,396.0,14.3,10.4,77
2025-06-22,Centro,26.2,33.9,5.5,0.9,47.7,62.3,403.0,14.7,10.7,75
2025-06-23,Centro,28.4,36.4,5.9,1.0,50.1,64.7,409.0,15.0,11.1,73
2025-06-24,Centro,30.3,38.8,6.2,1.2,52.5,67.0,416.0,15.4,11.3,71
2025-06-25,Centro,22.6,28.8,4.9,0.6,43.3,57.6,391.0,13.8,9.9,78
2025-06-26,Centro,24.8,31.1,5.1,0.7,45.6,60.0,397.0,14.2,10.4,76
2025-06-27,Centro,26.7,33.5,5.4,0.8,48.0,62.4,403.0,14.6,10.8,74
2025-06-28,Centro,28.9,36.0,5.8,1.0,50.4,64.9,410.0,15.0,11.1,73
2025-06-29,Centro,30.6,38.6,6.1,1.2,52.8,67.3,416.0,15.3,11.5,71
2025-06-30,Centro,22.0,28.3,4.7,0.6,42.9,57.4,390.0,13.7,10.0,78
2025-05-01,La Mariscal,22.8,29.8,5.0,0.7,45.0,58.2,393.0,14.0,10.2,75
2025-05-02,La Mariscal,24.3,32.1,5.3,0.8,46.9,60.5,398.0,14.3,10.5,74
2025-05-03,La Mariscal,26.0,34.2,5.6,0.9,48.7,62.7,405.0,14.7,10.7,76
2025-05-04,La Mariscal,28.1,36.4,6.0,1.1,51.4,65.0,411.0,15.0,10.9,77
2025-05-05,La Mariscal,29.5,38.7,6.3,1.2,53.6,67.2,417.0,15.3,11.2,76
2025-05-06,La Mariscal,21.5,27.6,4.6,0.6,42.8,55.9,389.0,13.6,9.8,78
2025-05-07,La Mariscal,23.6,30.1,5.0,0.7,44.9,58.3,395.0,14.0,10.1,77
2025-05-08,La Mariscal,25.4,32.4,5.4,0.8,47.2,60.8,401.0,14.5,10.4,75
2025-05-09,La Mariscal,27.6,34.8,5.7,1.0,49.6,63.1,408.0,14.8,10.8,74
2025-05-10,La Mariscal,29.7,37.1,6.1,1.1,51.9,65.4,414.0,15.2,11.1,72
2025-05-11,La Mariscal,21.9,28.1,4.8,0.6,43.1,56.8,392.0,13.7,10.0,78
2025-05-12,La Mariscal,24.0,30.3,5.1,0.7,45.3,59.1,397.0,14.1,10.3,76
2025-05-13,La Mariscal,26.2,32.9,5.5,0.8,47.6,61.4,403.0,14.6,10.7,75
2025-05-14,La Mariscal,28.3,35.2,5.9,1.0,50.0,63.7,409.0,14.9,10.9,73
2025-05-15,La Mariscal,30.1,37.7,6.2,1.2,52.3,66.1,415.0,15.3,11.2,71
2025-05-16,La Mariscal,22.1,28.4,4.9,0.6,43.4,57.1,393.0,13.9,10.1,77
2025-05-17,La Mariscal,24.4,30.7,5.2,0.7,45.7,59.5,398.0,14.2,10.4,76
2025-05-18,La Mariscal,26.5,33.0,5.6,0.9,48.0,61.9,404.0,14.6,10.6,74
2025-05-19,La Mariscal,28.7,35.4,5.9,1.1,50.4,64.3,410.0,15.0,10.9,72
2025-05-20,La Mariscal,30.3,37.8,6.2,1.2,52.7,66.6,416.0,15.4,11.3,70
2025-05-21,La Mariscal,22.2,28.6,4.9,0.6,43.2,57.3,392.0,13.8,10.0,77
2025-05-22,La Mariscal,24.6,31.0,5.3,0.8,45.6,59.7,397.0,14.2,10.3,76
2025-05-23,La Mariscal,26.9,33.2,5.6,0.9,47.8,62.0,404.0,14.7,10.6,75
2025-05-24,La Mariscal,28.8,35.6,6.0,1.1,50.1,64.4,410.0,15.0,10.9,74
2025-05-25,La Mariscal,30.5,38.1,6.3,1.2,52.5,66.8,416.0,15.4,11.2,72
2025-05-26,La Mariscal,21.6,28.2,4.7,0.6,43.0,56.9,390.0,13.6,9.9,78
2025-05-27,La Mariscal,23.9,30.5,5.1,0.7,45.4,59.2,395.0,14.0,10.2,76
2025-05-28,La Mariscal,26.1,32.7,5.5,0.8,47.7,61.6,402.0,14.5,10.5,75
2025-05-29,La Mariscal,28.2,35.1,5.8,1.0,50.0,63.8,408.0,14.8,10.8,73
